email_type,subcategory,subject,body,source
Safe Email,cme_training_genuine,New Module Available: Updated Charting Guidelines,"A new training module covering the updated charting guidelines is now available in the learning portal whenever you're ready. There's no set deadline, but we recommend completing it within the next quarter. Clinical Education",synthetic_llm_batch15
Safe Email,cme_training_genuine,CME Hours Recorded for Recent Conference,"This confirms the continuing education hours from the conference you attended last month have been recorded in your file. You can view your updated total anytime in the provider portal. Thanks, Medical Education Office",synthetic_llm_batch15
Safe Email,cme_training_genuine,Optional Lunch & Learn: New Charting Tools Demo,"We're hosting an optional lunch and learn next Tuesday to walk through the new charting tools rolling out this quarter. Lunch will be provided, feel free to bring questions. Clinical Systems Team",synthetic_llm_batch15
Safe Email,cme_training_genuine,Your Safety Training Is Up to Date,"Just a note that our records show your annual safety training is fully up to date, no action needed on your end. Thanks for staying current. Employee Health & Safety",synthetic_llm_batch15
Safe Email,cme_training_genuine,New Elective CE Courses Now Open for Registration,"A few new elective continuing education courses have opened for registration this month, covering topics like telehealth best practices and geriatric care updates. Browse and register at your convenience through the provider portal. Medical Education Office",synthetic_llm_batch15
Safe Email,cme_training_genuine,Thanks for completing the infection control refresher,Just confirming your infection control refresher was completed successfully last week and has been logged in your training file. No further action needed. Infection Prevention Team,synthetic_llm_batch15
Safe Email,cme_training_genuine,Reminder: Optional Skills Fair Next Month,"The annual optional skills fair is coming up next month with hands-on stations for suturing, IV insertion practice, and more. No sign-up required, just stop by during your break if you're interested. Clinical Education Office",synthetic_llm_batch15
Safe Email,cme_training_genuine,Your Recertification Exam Has Been Scheduled,This confirms your recertification exam has been scheduled for the date you selected. You'll receive a separate reminder a week beforehand with location and what to bring. Certification Board Liaison Office,synthetic_llm_batch15
Safe Email,cme_training_genuine,New Grand Rounds Topic This Friday,"This Friday's grand rounds will cover recent updates in sepsis management, presented by the ICU team. Attendance is optional but CME credit is available for those who attend. Medical Staff Office",synthetic_llm_batch15
Safe Email,cme_training_genuine,Training Record Summary - No Action Needed,"Attached is a summary of your completed training for this year for your records. Everything looks in order, no outstanding items at this time. Training_Summary_2025.pdf Human Resources",synthetic_llm_batch15
Safe Email,cme_training_genuine,New wellness workshop series starting next week,"We're kicking off a new optional wellness workshop series next week covering stress management and work-life balance topics. Sessions are during lunch and open to all staff, feel free to drop in. Employee Wellness Program",synthetic_llm_batch15
Safe Email,cme_training_genuine,Congrats on finishing your onboarding modules!,"Just wanted to say congrats on wrapping up all your onboarding training modules ahead of schedule. Welcome to the team, and let us know if you have any questions as you settle in. HR Onboarding Team",synthetic_llm_batch15
Safe Email,cme_training_genuine,Optional session: New EHR shortcuts and tips,"We're running an optional session next week on some handy shortcuts and tips for the new EHR update. No need to sign up in advance, just show up if you'd like to join. Clinical Informatics Team",synthetic_llm_batch15
Safe Email,cme_training_genuine,Your CE credit certificate is attached,Attached is your certificate for the continuing education credits you completed last month. Feel free to save this for your own records alongside what we've logged on our end. CE_Certificate_March.pdf Medical Education Office,synthetic_llm_batch15
Safe Email,cme_training_genuine,Heads up: training portal maintenance this weekend,"Just a heads up that the training portal will be down for routine maintenance this Saturday morning. No action needed, everything will be back up by Sunday. Learning Systems Team",synthetic_llm_batch15
Safe Email,cme_training_genuine,New optional course: Advanced Wound Care,A new optional advanced wound care course has been added to the catalog for anyone interested in deepening their skills in this area. It's self-paced and available whenever suits you. Nursing Education Department,synthetic_llm_batch15
Safe Email,cme_training_genuine,Thanks for attending yesterday's training session,Thanks to everyone who came out to yesterday's training session on the new patient intake process. Slides are attached for anyone who wants to review them again. Intake_Training_Slides.pdf Practice Manager,synthetic_llm_batch15
