email_type,subcategory,subject,body,source
Safe Email,vendor_routine,Invoice for Last Month's Order,"Hi, attached is the invoice for last month's supply order for your records. Terms remain net 30 as always. Let us know if you have any questions. Thanks, Billing, Oakridge Infection Control Supply.",synthetic_llm_batch11
Safe Email,vendor_routine,Your Invoice Is Attached,Please find attached the invoice for the recent order placed with Pinehurst Equipment Leasing. No action is needed beyond your normal payment process. Thank you for your business.,synthetic_llm_batch11
Safe Email,vendor_routine,Monthly Invoice - Quarry Medical Imaging Parts,Attached is this month's invoice for parts shipped to your facility. Everything matches the purchase order on file. Reach out if you'd like an itemized breakdown.,synthetic_llm_batch11
Safe Email,vendor_routine,Invoice #4471 for Your Files,"Hi there, sending over invoice #4471 for the equipment order completed last week from Riverside Sterile Products. Let us know if your accounting team needs anything else.",synthetic_llm_batch11
Safe Email,vendor_routine,Copy of Invoice for Your Records,"As requested, here is a copy of the invoice for your recent order with Sunbelt Pharmaceutical Distribution. Original terms apply, no changes on our end.",synthetic_llm_batch11
Safe Email,vendor_routine,Your Order Has Shipped,"Good news, your recent order from Timberline Medical Supply has shipped and is expected to arrive within 3-5 business days. Tracking information will follow separately. Thanks for your order.",synthetic_llm_batch11
Safe Email,vendor_routine,Order Confirmed - Delivery Next Week,This confirms we've received your order and it's scheduled for delivery early next week. Union Square Biomedical's logistics team will reach out if the timeline changes. Thanks again for choosing us.,synthetic_llm_batch11
Safe Email,vendor_routine,Delivery Window Update,Just a quick note that your delivery from Vista Ridge Equipment Co. is now scheduled for Thursday between 9 AM and noon. Someone will need to be available to sign for it.,synthetic_llm_batch11
Safe Email,vendor_routine,Thanks for Your Order - Confirmation Enclosed,We appreciate your recent order. Attached is the confirmation with expected delivery dates for each line item from Westfield Surgical Supply. Let us know if any of the timing conflicts with your schedule.,synthetic_llm_batch11
Safe Email,vendor_routine,Order Received and Being Processed,Your order has been received and is currently being prepared for shipment. Yellowstone Medical Logistics typically ships within 2 business days of order confirmation. We'll follow up once it's on its way.,synthetic_llm_batch11
Safe Email,vendor_routine,Quarterly Statement Enclosed,"Attached is your quarterly account statement from Zenith Diagnostics Supply covering the last three months of activity. Everything appears to reconcile on our end, but let us know if you spot anything unusual.",synthetic_llm_batch11
Safe Email,vendor_routine,Monthly Account Summary,Here's your monthly summary from Briarwood Infusion Pumps showing all orders and payments processed this period. No outstanding balance at this time. Thank you for your continued business.,synthetic_llm_batch11
Safe Email,vendor_routine,Year-to-Date Statement Attached,"As requested, attached is a year-to-date statement of your account with Cedarbrook Lab Equipment. This is for your records only, no payment is due at this time.",synthetic_llm_batch11
Safe Email,vendor_routine,Statement of Account - No Action Needed,Please find your latest statement attached from Dunmore Medical Devices. Your account is current and in good standing. Reach out anytime if you have questions.,synthetic_llm_batch11
Safe Email,vendor_routine,Tracking Number for Your Recent Order,"Your order from Elmhurst Sterilization is on its way. Tracking number 1Z9928XX4471 has been assigned, you can follow the shipment status through the carrier's site.",synthetic_llm_batch11
Safe Email,vendor_routine,Shipment Update - Slight Delay,We wanted to give you a heads up that your order from Foxglove Pharmaceutical Supply is running about two days behind the original estimate due to a carrier delay. It's still on track to arrive by end of week.,synthetic_llm_batch11
Safe Email,vendor_routine,Your Package Is Out for Delivery,Just a quick note that your order from Glenwood Biomedical Parts is out for delivery today. No signature is required based on your account preferences.,synthetic_llm_batch11
Safe Email,vendor_routine,Backordered Item Update,One item from your recent order with Hillcrest Surgical Products is on backorder and should ship within 10 days. The rest of your order has already gone out separately. Sorry for the inconvenience.,synthetic_llm_batch11
Safe Email,vendor_routine,Service Contract Renewal Reminder,"Your annual service contract with Ivywood Medical Rentals renews next month. No action is needed if you'd like to continue as-is, we'll process it automatically unless we hear otherwise.",synthetic_llm_batch11
Safe Email,vendor_routine,Upcoming Contract Renewal - Let Us Know Your Plans,"Your maintenance agreement with Jasper Diagnostics Equipment is coming up for renewal in about six weeks. If you'd like to make any changes to the coverage, just let your account rep know, otherwise we'll renew as-is.",synthetic_llm_batch11
