email_type,subcategory,subject,body,source
Safe Email,it_policy_update,VPN Client Update Available,"A new version of the VPN client is available with minor bug fixes. You can update it whenever convenient through Software Center - no rush, and your current session won't be affected. IT Department",synthetic_llm_batch9
Safe Email,it_policy_update,Heads Up: Wi-Fi Rebranding on Guest Network,"Just a small note that the guest Wi-Fi network name is changing from 'ClinicGuest' to 'WillowbrookGuest' next week for branding consistency. Staff network is unaffected. Raj Patel, IT Manager",synthetic_llm_batch9
Safe Email,it_policy_update,Printer Maintenance Completed - 3rd Floor,The printer on the 3rd floor nursing station has been serviced and is back online. Thanks for your patience while it was down. Facilities & IT Support,synthetic_llm_batch9
Safe Email,it_policy_update,Reminder: Old Laptops Being Retired Next Month,"As part of our normal hardware refresh cycle, laptops issued before 2022 will be retired next month and replaced. Your IT liaison will reach out to schedule your swap - no action needed from you right now. Desktop Support",synthetic_llm_batch9
Safe Email,it_policy_update,New Optional Feature: Dark Mode in the EHR Portal,"For anyone who's asked, dark mode is now available in the EHR portal settings menu. Totally optional, just wanted folks to know it's there. Systems Team",synthetic_llm_batch9
Safe Email,it_policy_update,Scheduled Maintenance Window This Sunday,St. Agnes Regional Hospital's billing system will be offline for scheduled maintenance this Sunday from 2 AM to 5 AM. No action is needed on your end; access will resume automatically afterward. Network Operations,synthetic_llm_batch9
Safe Email,it_policy_update,Password Policy Reminder,"Just a routine reminder that passwords should be at least 12 characters. If yours already meets this, you don't need to do anything - this is just informational. IT Security",synthetic_llm_batch9
Safe Email,it_policy_update,Conference Room Booking System Updated,"The conference room booking tool got a small interface refresh over the weekend. Functionality is the same, just a cleaner look. Let us know if anything seems off. Help Desk",synthetic_llm_batch9
Safe Email,it_policy_update,New Self-Service Password Reset Option,"You can now reset your own password through the self-service portal if you ever forget it, instead of calling the help desk. It's completely optional to use. IT Department",synthetic_llm_batch9
Safe Email,it_policy_update,Server Room HVAC Repair Complete,"For those curious, the server room cooling issue from last week has been fully resolved. No impact to any of our systems occurred during the repair. Infrastructure Team",synthetic_llm_batch9
Safe Email,it_policy_update,"Browser Update Recommended, Not Required","We recommend updating your browser to the latest version for the best experience on internal sites, but your current version will continue to work fine. Update whenever it's convenient. IT Support",synthetic_llm_batch9
Safe Email,it_policy_update,Quarterly IT Newsletter,"This quarter's IT newsletter covers our new ticketing system, a few Excel tips, and a shoutout to the team that handled last month's migration smoothly. Read it on the intranet when you get a chance. Communications & IT",synthetic_llm_batch9
Safe Email,it_policy_update,Two-Factor Authentication Now Available for Personal Accounts,"If you'd like extra security on your personal work-related logins, two-factor authentication is now available as an opt-in feature. Instructions are on the intranet if you're interested. Security Operations Center",synthetic_llm_batch9
Safe Email,it_policy_update,Cedar Valley Hospital Network Upgrade Complete,"The network switch upgrade in the east wing finished ahead of schedule last night. Connectivity should feel a bit snappier, but no changes are needed from staff. Network Operations",synthetic_llm_batch9
Safe Email,it_policy_update,Reminder: Report Lost or Stolen Devices Promptly,"Just a routine reminder that lost or stolen work devices should be reported to the help desk as soon as possible so we can remote-wipe them. This is standard policy, not related to any specific incident. IT Security",synthetic_llm_batch9
Safe Email,it_policy_update,New Shared Drive Structure Rolling Out Gradually,We're reorganizing the shared drive folder structure over the next few weeks to make things easier to find. Your existing files and links won't break during the transition. Systems Administration,synthetic_llm_batch9
Safe Email,it_policy_update,Software Center Now Includes Self-Install Options,"A handful of common applications (Zoom, Adobe Reader, etc.) are now available for self-install through Software Center, no ticket required. Desktop Support",synthetic_llm_batch9
Safe Email,it_policy_update,Annual IT Satisfaction Survey,"If you have five minutes, we'd appreciate your feedback on this year's IT satisfaction survey linked on the intranet homepage. Totally optional and anonymous. IT Leadership",synthetic_llm_batch9
Safe Email,it_policy_update,Lakeshore General Hospital Guest Network Bandwidth Increased,Good news for visitors and patients - we've increased bandwidth on the guest Wi-Fi network based on recent feedback. No changes needed on the staff network. IT Operations,synthetic_llm_batch9
Safe Email,it_policy_update,Update on Ticket Response Times,Just letting everyone know average help desk response times have improved to under 2 hours this month. Thanks for your patience as we worked through the backlog. Help Desk Team,synthetic_llm_batch9
Safe Email,it_policy_update,New Onboarding Checklist for IT Equipment,"We've streamlined the IT portion of new hire onboarding with a simpler equipment checklist for managers. If you're onboarding someone soon, the updated form is on the intranet. HR & IT Coordination",synthetic_llm_batch9
Safe Email,it_policy_update,Minor Fix: Calendar Sync Issue Resolved,The calendar sync delay some of you noticed last week between Outlook and the scheduling system has been fixed. Everything should be syncing normally now. Systems Team,synthetic_llm_batch9
Safe Email,it_policy_update,Optional Webinar: Getting the Most Out of Teams,"IT is hosting an optional lunch-and-learn next Tuesday on lesser-known Teams features. No obligation to attend, recording will be posted afterward either way. Training & IT",synthetic_llm_batch9
Safe Email,it_policy_update,Firmware Update Applied to Badge Readers,Routine firmware updates were applied to building badge readers overnight. Everything is functioning normally; you shouldn't notice any difference. Facilities IT,synthetic_llm_batch9
Safe Email,it_policy_update,Update: Remote Desktop Performance Improvements,"We made some backend adjustments that should improve remote desktop performance for staff working from home. Let us know if you notice any issues, but no action is needed. Infrastructure Team",synthetic_llm_batch9
Safe Email,it_policy_update,Sunrise Pediatric Clinic IT Office Hours This Week,"Reminder that IT will have a drop-in help table in the break room Thursday from 1-3 PM if anyone wants to swing by with quick questions, no ticket needed. IT Support",synthetic_llm_batch9
Safe Email,it_policy_update,Retirement of Legacy Fax-to-Email Gateway,The old fax-to-email gateway will be phased out over the next two months in favor of the newer system most departments already use. Your IT liaison will help with any remaining transitions. Systems Administration,synthetic_llm_batch9
Safe Email,it_policy_update,New Read-Only Access Level Added to Reporting Tool,We've added a read-only access tier to the reporting tool for staff who just need to view dashboards without editing rights. Reach out if this would be useful for your role. Systems Team,synthetic_llm_batch9
Safe Email,it_policy_update,Backup Verification Completed Successfully,Just a routine note that this month's backup verification test completed successfully with no issues found. No action needed. IT Operations,synthetic_llm_batch9
Safe Email,it_policy_update,Slight Delay Expected for Ticket Submissions Today,"Due to a planned migration of our ticketing system this afternoon, there may be a short delay in ticket confirmations. Submissions will still be received normally. Help Desk",synthetic_llm_batch9
Safe Email,it_policy_update,Prairie View Hospital Adds New Meeting Room AV Equipment,New AV equipment has been installed in the second-floor meeting rooms. A quick-start guide is taped to each podium if you need a refresher. Facilities & IT,synthetic_llm_batch9
Safe Email,it_policy_update,Update: Employee Portal Login Page Refreshed,"The login page for the employee portal got a visual refresh this week - same login process, just a cleaner look and faster load time. Systems Team",synthetic_llm_batch9
Safe Email,it_policy_update,Beacon Family Practice Switching Email Signature Template,"We're rolling out a slightly updated email signature template this month for consistency across the practice. Your IT contact can help set it up whenever convenient, no rush. Communications",synthetic_llm_batch9
Safe Email,it_policy_update,Reminder: Use the Correct Ticket Category for Faster Routing,"Just a friendly reminder to select the right category when submitting help desk tickets, it helps route your request to the right person faster. Thanks for your help. Help Desk Team",synthetic_llm_batch9
