email_type,subcategory,subject,body,source
Phishing Email,pharmacy_prescription,Payment Method Declined for Your Refill,"Hi, we tried to charge the card on file for your recent refill at Meijer Pharmacy and the transaction was declined. Please update your payment information within 48 hours or your order will be canceled and returned to stock. Update Card: hxxp://meijerrx-payment-update.net Meijer Pharmacy Billing",synthetic_llm_batch20
Phishing Email,pharmacy_prescription,Prior Authorization Has Expired,This is a notice from OptumRx Specialty Pharmacy. The prior authorization on file for your specialty medication has expired and your next shipment cannot be processed until it's renewed. Click below to complete a quick re-verification so we can continue your therapy without interruption. hxxp://optumrx-reverify.com Specialty Pharmacy Services,synthetic_llm_batch20
Phishing Email,pharmacy_prescription,Duplicate Therapy Alert - Refill On Hold,"Our pharmacist review flagged a possible duplicate therapy on your account and your refill has been placed on hold. Please review the alert and confirm you'd like to proceed by clicking below, otherwise the hold will remain in place and your medication will not ship. hxxp://rxsafety-review.net/hold Central Valley Pharmacy Group",synthetic_llm_batch20
Phishing Email,pharmacy_prescription,Your Auto-Ship Payment Failed,We were unable to process the automatic payment for this month's auto-ship prescription. Please re-enter your payment details as soon as possible so we can send your medication out on schedule. hxxp://autoship-payment-fix.com PharmaCare Direct,synthetic_llm_batch20
Phishing Email,pharmacy_prescription,Rewards Points Expiring - Redeem Now,"Hey there! Just a heads up that you've got 480 pharmacy rewards points sitting in your account and they're about to expire at midnight. Don't let them go to waste, log in and redeem them for a discount on your next refill. hxxp://rxrewards-redeem.net Kroger Health Pharmacy",synthetic_llm_batch20
Phishing Email,pharmacy_prescription,System Migration - Please Re-Register Your Account,"As part of our transition to a new pharmacy management system, all patient accounts require re-registration. Please complete the short form below within the next 5 days to avoid any disruption to your prescription history and future refills. hxxp://newsystem-register.org Rite Aid Pharmacy Team",synthetic_llm_batch20
Phishing Email,pharmacy_prescription,Price Change Notice for Your Medication,"We're writing to let you know that the price of one of your regular medications is changing next month due to a formulary update. To confirm whether you'd like to continue at the new price or explore alternatives, please respond through the secure link below by Friday. hxxp://formulary-price-check.net Prime Therapeutics",synthetic_llm_batch20
Phishing Email,pharmacy_prescription,Unusual Refill Request From New Location,"A refill request on your account was submitted from a device or location we don't recognize. If this wasn't you, please verify your identity immediately to prevent unauthorized access to your prescription history. hxxp://identity-verify-rx.com Express Scripts Home Delivery",synthetic_llm_batch20
Phishing Email,pharmacy_prescription,Your Package Is Being Held by Carrier,"Your mail-order prescription shipment is currently being held by the carrier pending a small customs and handling fee. Please pay the outstanding amount below to release your package for delivery, delays beyond 72 hours may result in the medication being returned. hxxp://carrier-fee-release.net HealthPartners Mail Order Pharmacy",synthetic_llm_batch20
Phishing Email,pharmacy_prescription,Formulary Change Requires New Prior Auth,"Good afternoon, your insurance plan has updated its formulary and your current medication now requires a new prior authorization directly from you as the patient before we can fill your next order. Please complete the request using the link below. hxxp://formulary-auth-request.com Anthem Pharmacy Care Team",synthetic_llm_batch20
Phishing Email,pharmacy_prescription,Voluntary Recall - Check If You're Affected,A voluntary recall has been issued for a batch of medication that may match a recent prescription filled under your name. Please click below to check your lot number and determine whether you need a replacement. hxxp://rx-recall-check.net Sunrise Family Pharmacy,synthetic_llm_batch20
Phishing Email,pharmacy_prescription,Message From Your Pharmacist Regarding Your Rx,Your pharmacist has left a note on your account regarding a recent prescription and would like you to review it before your next pickup. Please log in to the patient portal to read the full message. hxxp://pharmacist-note-portal.org Lakeside Compounding Pharmacy,synthetic_llm_batch20
Phishing Email,pharmacy_prescription,Your Savings Card Is About to Expire,This is a reminder that the prescription discount card linked to your account expires at the end of this week. Reactivate it now to keep saving on your out-of-pocket costs for future fills. hxxp://savings-card-reactivate.net Good Neighbor Pharmacy,synthetic_llm_batch20
Phishing Email,pharmacy_prescription,Confirm Enrollment to Avoid Refill Lapse,"To keep your automatic refill enrollment active, we need you to confirm your preferences before the end of the month. If we don't hear from you, your next scheduled refill may be delayed or canceled. hxxp://autorefill-confirm.com PharmaCare Direct",synthetic_llm_batch20
Phishing Email,pharmacy_prescription,Delivery Address Needs Verification,"Because your upcoming shipment includes a controlled substance, federal guidelines require us to verify your delivery address before it can ship. Please confirm your current address using the secure form below within 24 hours. hxxp://address-verify-rx.net UPMC Pharmacy Services",synthetic_llm_batch20
