email_type,subcategory,subject,body,source
Safe Email,appointment_reminder,Reminder: Emma's Checkup This Friday at 3:15,"Hi, just a friendly reminder that Emma has her well-child checkup this Friday at 3:15 PM with Dr. Whitfield. Please bring her vaccination record if you have an updated copy. See you soon! Oakhill Pediatric Associates",synthetic_llm_batch3
Safe Email,appointment_reminder,Follow-Up Appointment Confirmation,"This confirms your follow-up appointment for your knee injury on Tuesday at 11:00 AM with Dr. Renner. Please wear comfortable clothing that allows access to the knee for examination. If you've had any imaging done elsewhere, please bring the results. Lakeview Orthopedic & Sports Medicine",synthetic_llm_batch3
Safe Email,appointment_reminder,See you Thursday for your cleaning!,"Just a heads up, your 6-month cleaning is coming up this Thursday at 9 AM. If you need to move it, just give us a call. Otherwise we'll see you then! Silver Birch Dental Group",synthetic_llm_batch3
Safe Email,appointment_reminder,PT Session Reminder - Wed 2:00 PM,This is an automated reminder for your physical therapy session Wednesday at 2:00 PM with Marcus. Please arrive 10 minutes early to complete your progress check-in. Meridian Physical Therapy,synthetic_llm_batch3
Safe Email,appointment_reminder,Your Next Prenatal Visit,"Hi, hope you're feeling well! Just confirming your prenatal visit next Monday at 10:30 AM with Dr. Achebe. We'll do a routine check and answer any questions you have. Feel free to jot down anything you want to ask beforehand. See you soon, Blue Harbor OB/GYN",synthetic_llm_batch3
Safe Email,appointment_reminder,Follow-up scheduled,Follow-up visit scheduled for Saturday at 1:00 PM regarding your recent visit. No fasting required. Call if you need to reschedule. Sunrise Urgent Care,synthetic_llm_batch3
Safe Email,appointment_reminder,Imaging Appointment Confirmation - X-Ray,This confirms your scheduled X-ray appointment on Thursday at 8:45 AM. Please arrive 15 minutes early to complete registration. No special preparation is required for this exam. Fielding Radiology Center,synthetic_llm_batch3
Safe Email,appointment_reminder,Dressing Change Appointment Tomorrow,Reminder that your dressing change appointment is tomorrow at 9:30 AM. Please keep the area as clean and dry as possible before your visit. Comfort Grove Wound Care Clinic,synthetic_llm_batch3
Safe Email,appointment_reminder,Getting Ready for Your Allergy Testing Appointment,"Hi there, we're looking forward to seeing you next Wednesday at 10:00 AM for your allergy skin testing. A couple of quick notes to help things go smoothly: please stop taking antihistamines at least 5 days before your visit, and wear a short-sleeve shirt if possible. The testing itself takes about 30-40 minutes. Let us know if you have any questions before then! Northgate ENT & Allergy",synthetic_llm_batch3
Safe Email,appointment_reminder,Sleep Study Appointment Reminder,This is a reminder of your overnight sleep study scheduled for this Friday. Please avoid caffeine after 12 PM that day and bring comfortable sleepwear along with any medications you normally take at bedtime. Cypress Sleep Medicine Center,synthetic_llm_batch3
Safe Email,appointment_reminder,Eye exam next week!,"Just confirming your eye exam next Tuesday at 4:00 PM. If your eyes get dilated, you might want to arrange a ride home just in case. See you then! Whitmore Eye Care",synthetic_llm_batch3
Safe Email,appointment_reminder,Appointment Confirmation,"This confirms your appointment this Thursday at 3:00 PM. As always, please let us know at least 24 hours in advance if you need to reschedule. Rosewood Psychiatry Group",synthetic_llm_batch3
Safe Email,appointment_reminder,Your Nutrition Consult - Bring Your Food Log!,"Looking forward to seeing you Monday at 1:30 PM for your follow-up consult. If you've been keeping a food log since our last visit, please bring it along so we can review it together. See you soon, Bright Path Nutrition Counseling",synthetic_llm_batch3
Safe Email,appointment_reminder,Podiatry Appointment Reminder,Automated reminder: your podiatry appointment is scheduled for Friday at 11:15 AM. Please wear socks that are easy to remove. Stonebridge Podiatry,synthetic_llm_batch3
Safe Email,appointment_reminder,Vaccine Appointment Tomorrow,"Reminder: your flu vaccine appointment is tomorrow at 2:00 PM. No appointment changes needed, just walk in and check in at the front desk. Fairview Vaccination Clinic",synthetic_llm_batch3
Safe Email,appointment_reminder,Telehealth Visit Set for Tomorrow,"Hi, just confirming your telehealth visit with Dr. Whitfield tomorrow at 4:30 PM. You'll get a link through the patient portal about 10 minutes before the call. Make sure you're somewhere quiet with good internet if possible. Talk soon, Oakhill Pediatric Associates",synthetic_llm_batch3
Safe Email,appointment_reminder,Sports Physical Appointment Confirmed,This confirms the sports physical scheduled for next Wednesday at 9:00 AM. Please bring any required school paperwork for the coach to sign afterward. No fasting is needed for this visit. Lakeview Orthopedic & Sports Medicine,synthetic_llm_batch3
Safe Email,appointment_reminder,Reminder: Crown Fitting Appointment,"This is a reminder that your crown fitting appointment is scheduled for next Tuesday at 1:00 PM with Dr. Yamamoto. This appointment typically takes about 45 minutes. If you're experiencing any sensitivity or discomfort with the temporary crown before then, please give us a call so we can take a look. Otherwise, we'll see you next week! Silver Birch Dental Group",synthetic_llm_batch3
Safe Email,appointment_reminder,PT Re-Eval Friday,Your PT re-evaluation is set for Friday at 10:00 AM. Please wear athletic clothing. Meridian Physical Therapy,synthetic_llm_batch3
Safe Email,appointment_reminder,Your Annual Well-Woman Exam,"Hi, this is a friendly reminder about your annual well-woman exam coming up on the 18th at 9:15 AM. If it's been a while since your last visit, feel free to jot down any questions or concerns to bring up. Take care, Blue Harbor OB/GYN",synthetic_llm_batch3
