email_type,subcategory,subject,body,source
Safe Email,internal_announcement,Parking lot resurfacing next week,"Heads up that the main visitor lot will be resurfaced Monday through Wednesday next week. Staff parking will shift temporarily to the overflow lot behind the west building. Signs will be posted, thanks for your patience.

Facilities Management",synthetic_llm_batch19
Safe Email,internal_announcement,Welcome our two new hires,"Please join us in welcoming Dr. Priya Ramanathan to Internal Medicine and Jordan Kessler to our billing team, both starting Monday. Feel free to stop by and say hello during their first week.

HR Communications",synthetic_llm_batch19
Safe Email,internal_announcement,Cafeteria menu update,"Starting next month the cafeteria will be offering an expanded vegetarian menu and extending hours until 7pm on weekdays. Full menu is posted on the intranet if you'd like a preview.

Dining Services",synthetic_llm_batch19
Safe Email,internal_announcement,Reminder: badge photo day is Thursday,"If your ID badge photo is more than three years old, stop by the security office anytime Thursday between 9 and 3 to get an updated one taken. No appointment needed.

Security Office",synthetic_llm_batch19
Safe Email,internal_announcement,Building A elevator schedule,"The north elevator in Building A will be serviced this Friday from 7am to noon. The south elevator and stairwell will remain available throughout. Thanks for planning accordingly.

Facilities",synthetic_llm_batch19
Safe Email,internal_announcement,New coffee machines in the break rooms,"You may have noticed the new coffee machines installed in the second and third floor break rooms this week. Instructions are posted nearby, let facilities know if you run into any issues.

Operations Team",synthetic_llm_batch19
Safe Email,internal_announcement,Staff satisfaction survey closes Friday,"Just a reminder that the annual staff satisfaction survey closes this Friday. It takes about 8 minutes and your feedback genuinely shapes next year's priorities. Link is on the intranet homepage.

Human Resources",synthetic_llm_batch19
Safe Email,internal_announcement,Congratulations to our Employee of the Quarter,"We're pleased to recognize Angela Ferris from the front desk team as this quarter's Employee of the Quarter, nominated by her colleagues for consistently going above and beyond. Congratulations, Angela!

Leadership Team",synthetic_llm_batch19
Safe Email,internal_announcement,Update on the cafeteria renovation,"The main cafeteria renovation is on track to finish by the end of the month. In the meantime, the temporary seating area near the east entrance remains open during regular hours.

Facilities Management",synthetic_llm_batch19
Safe Email,internal_announcement,Reminder: flu shot clinic dates,"The employee flu shot clinic will run in the main lobby this Tuesday and Wednesday from 7am to 3pm. Walk-ins welcome, no appointment necessary. Bring your insurance card if you have one.

Employee Health",synthetic_llm_batch19
Safe Email,internal_announcement,New bike racks installed,"Thanks to everyone who requested it, we've added additional bike racks near the south entrance. Feel free to use them starting this week.

Facilities",synthetic_llm_batch19
Safe Email,internal_announcement,Holiday schedule reminder,"As we approach the holidays, please remember to submit any time off requests through the usual portal by the end of next week so scheduling can plan ahead. Thanks in advance.

Staff Scheduling",synthetic_llm_batch19
Safe Email,internal_announcement,Town hall next Wednesday,"Join us for the quarterly town hall next Wednesday at noon in the main auditorium, or watch the livestream from your desk. Leadership will cover this year's priorities and take questions.

Communications Team",synthetic_llm_batch19
Safe Email,internal_announcement,New hand sanitizer stations,"You'll now find additional hand sanitizer stations near each department entrance as part of our ongoing infection control efforts. Thanks for helping keep our facility safe.

Infection Control",synthetic_llm_batch19
Safe Email,internal_announcement,Update your emergency contact info,"It's that time of year, please take a moment to log into the HR portal and confirm your emergency contact information is current. Takes less than five minutes.

Human Resources",synthetic_llm_batch19
Safe Email,internal_announcement,Volunteers needed for the community health fair,"We're looking for a few volunteers to help staff our booth at the community health fair next month. If you're interested, reply to this email and we'll send details.

Community Outreach",synthetic_llm_batch19
Safe Email,internal_announcement,New printer in the west wing,"A new printer has been installed near the west wing nurses' station to help with the queue during busy shifts. Driver installation instructions are on the intranet.

IT Support",synthetic_llm_batch19
Safe Email,internal_announcement,Reminder: annual compliance photos,"If you haven't already had your annual compliance photo taken for your staff directory listing, the photographer will be set up in the main lobby this Friday from 10 to 2.

Compliance Office",synthetic_llm_batch19
Safe Email,internal_announcement,Thank you for a great fundraiser,"Thanks to everyone who contributed to this year's charity walk, we raised over $14,000 for the children's ward renovation fund. Great turnout from every department.

Community Outreach",synthetic_llm_batch19
Safe Email,internal_announcement,Scheduled fire drill this month,"As required annually, we'll be conducting a scheduled fire drill sometime in the next two weeks. Please review the evacuation routes posted near the stairwells when you have a moment.

Safety Office",synthetic_llm_batch19
Safe Email,internal_announcement,Cafeteria closed for deep clean,"The cafeteria will be closed this Sunday for its scheduled deep clean and equipment maintenance. It will reopen Monday morning at the usual time.

Dining Services",synthetic_llm_batch19
Safe Email,internal_announcement,Update on the new EHR training rollout,"Optional refresher sessions on the recent EHR update are being offered this week in the training room. Sign up on the intranet if you'd like a spot, no obligation to attend.

Clinical Informatics",synthetic_llm_batch19
Safe Email,internal_announcement,Reminder: annual picnic is this Saturday,"Just a friendly reminder that the staff and family picnic is this Saturday at Riverside Park starting at noon. Bring the family, food and drinks will be provided.

Employee Engagement Committee",synthetic_llm_batch19
Safe Email,internal_announcement,New signage in the main lobby,"You may notice updated wayfinding signage going up in the main lobby this week to help patients find departments more easily. Let us know if you spot anything confusing.

Facilities",synthetic_llm_batch19
Safe Email,internal_announcement,Thank you to the night shift team,"A quick note of appreciation to our overnight team for covering seamlessly during last week's system outage. Your steadiness made a real difference for patients.

Nursing Administration",synthetic_llm_batch19
Safe Email,internal_announcement,Break room microwave replaced,"The microwave in the third floor break room has been replaced after last week's malfunction. Please remember to cover food when heating it up.

Facilities",synthetic_llm_batch19
Safe Email,internal_announcement,New online scheduling tool for meeting rooms,"Starting next week, conference room bookings will move to the new online scheduling tool. A short how-to guide is posted on the intranet.

Operations Team",synthetic_llm_batch19
Safe Email,internal_announcement,Update: guest wifi password change,"The guest wifi password will be updated this weekend as part of routine maintenance. The new password will be posted at the front desk and in patient waiting areas.

IT Department",synthetic_llm_batch19
Safe Email,internal_announcement,Reminder: submit your CME hours,"If you haven't logged your CME hours for this cycle yet, there's still time before the deadline next month. Reach out to medical education if you have questions about what qualifies.

Medical Education Office",synthetic_llm_batch19
Safe Email,internal_announcement,New vending machine options,"Based on feedback from the last staff survey, the vending machines in the break rooms now include more low sugar and gluten free snack options.

Facilities",synthetic_llm_batch19
Safe Email,internal_announcement,Update on the roof repair project,"The roof repair project over the east wing is progressing on schedule and should wrap up by the end of the month with minimal disruption expected going forward.

Facilities Management",synthetic_llm_batch19
Safe Email,internal_announcement,Staff lounge furniture upgrade,"New seating has been installed in the main staff lounge based on requests from last quarter's survey. Come check it out on your next break.

Facilities",synthetic_llm_batch19
Safe Email,internal_announcement,Reminder: submit expense reports by Friday,"Just a reminder that expense reports for this month need to be submitted by end of day Friday to be included in this cycle's reimbursement run.

Accounting",synthetic_llm_batch19
Safe Email,internal_announcement,New signage for the pharmacy pickup window,"You'll notice new directional signage near the pharmacy pickup window to help reduce congestion during peak hours. Thanks for your patience while patients adjust.

Pharmacy Operations",synthetic_llm_batch19
Safe Email,internal_announcement,Update: department potluck this Friday,"Don't forget the radiology department potluck this Friday at noon in the staff lounge. Sign up sheet for dishes is on the breakroom fridge.

Radiology Team",synthetic_llm_batch19
Safe Email,internal_announcement,New bulletin board in the break room,"We've added a new community bulletin board in the main break room for staff announcements, carpooling requests, and the like. Feel free to post there going forward.

Human Resources",synthetic_llm_batch19
Safe Email,internal_announcement,Reminder to update your mailing address,"If you've moved recently, please update your mailing address in the HR system so your year end tax documents go to the right place.

Human Resources",synthetic_llm_batch19
Safe Email,internal_announcement,Thank you for your patience during construction,"We appreciate everyone's flexibility during the ongoing lobby construction. The project remains on track and we'll share updates as milestones are reached.

Facilities Management",synthetic_llm_batch19
Safe Email,internal_announcement,New recycling bins added,"You'll now find recycling bins alongside the regular trash bins in every break room and hallway as part of our sustainability initiative. Thanks for participating.

Facilities",synthetic_llm_batch19
Safe Email,internal_announcement,Staff appreciation week schedule,"Staff appreciation week kicks off next Monday with a different treat or activity each day, details posted on the intranet. Thanks for everything you do.

Employee Engagement Committee",synthetic_llm_batch19
Safe Email,internal_announcement,Update on badge access to the new wing,"Badge access to the newly opened south wing will be enabled for all clinical staff starting Monday. If your badge doesn't work, stop by security to have it updated.

Security Office",synthetic_llm_batch19
Safe Email,internal_announcement,Reminder: annual eye wash station inspection,"Facilities will be conducting the annual inspection of eye wash stations throughout the building next week, a routine safety check, no action needed on your part.

Safety Office",synthetic_llm_batch19
Safe Email,internal_announcement,New mentorship program open for sign ups,"We're launching a peer mentorship program for new clinical staff this quarter. If you're interested in mentoring or being mentored, sign up on the intranet by the end of the month.

Professional Development",synthetic_llm_batch19
Safe Email,internal_announcement,Reminder: submit your holiday coverage preferences,"Please submit your holiday coverage preferences through the scheduling portal by next Friday so the team can finalize the calendar with plenty of notice.

Staff Scheduling",synthetic_llm_batch19
Safe Email,internal_announcement,Great turnout at last week's open house,"Thanks to everyone who helped make last week's community open house a success, we had a great turnout and a lot of positive feedback from visitors.

Community Outreach",synthetic_llm_batch19
Safe Email,internal_announcement,New water bottle filling stations,"New water bottle filling stations have been installed near the main stairwells on each floor. We hope this helps cut down on disposable cup use.

Facilities",synthetic_llm_batch19
Safe Email,internal_announcement,Quiet room now open on the third floor,"A new quiet room for staff to decompress during breaks is now open on the third floor near the east stairwell. Please keep noise to a minimum out of respect for others using the space.

Employee Wellness",synthetic_llm_batch19
