email_type,subcategory,subject,body,source
Phishing Email,vendor_bec,Please Note Our New Remittance Account,"Hi there, we're writing to let you know that Horizon Medical Supply Co. has switched banking institutions effective this week. Please update your accounts payable records with the new routing and account number listed in the attached PDF before your next scheduled payment run. Sorry for any inconvenience this causes. Attached: HMSC_New_Banking_Details.pdf",synthetic_llm_batch10
Phishing Email,vendor_bec,Action Needed: Bank Account Change for Lakeview Pharmaceutical Distributors,"Our finance team has migrated to a new banking partner. All outstanding and future invoices should be paid to the account referenced in the attached update form, not the one on file previously. We'd appreciate confirmation once your system reflects the change. Attached: Payment_Update_Form.docx",synthetic_llm_batch10
Phishing Email,vendor_bec,Urgent - Update Payment Details Before Friday's Run,"This is Deb over at BioTech Equipment Partners. Quick heads up, our old bank account is being closed at the end of the month, so please swap in the new account info below before your Friday payment batch goes out or the transfer will bounce. hxxp://biotech-equip-partners.net/banking-update",synthetic_llm_batch10
Phishing Email,vendor_bec,Re: Payment Routing Update,"Following our merger with a regional distributor, Precision Diagnostics Supply now processes payments through a different bank. Kindly route any pending balances to the account details on the enclosed letter rather than the previous one. Let us know if you have trouble accessing the file. hxxp://precisiondx-supply.info/routing",synthetic_llm_batch10
Phishing Email,vendor_bec,Change of Banking Information - Please Confirm Receipt,Coastal Healthcare Logistics has updated its banking information as of this quarter. We ask that all payment processors reflect this change within the next five business days to avoid any missed or returned payments. Please reply to confirm you've received this notice.,synthetic_llm_batch10
Phishing Email,vendor_bec,New Account for Wire Transfers Going Forward,"Please be advised that Summit Medical Devices has changed banks. Going forward, wire transfers should be sent to the account listed in the attached notice, not the one used for prior orders. This applies to any invoices currently in your queue as well. Attached: SMD_Wire_Instructions.pdf",synthetic_llm_batch10
Phishing Email,vendor_bec,SECOND NOTICE: Invoice #48812 Now 30 Days Past Due,This is a follow-up to our earlier notice. Invoice #48812 from Redwood Surgical Supplies remains unpaid and is now 30 days overdue. Continued non-payment may result in a hold on your open orders. Please remit payment immediately or contact our office to discuss.,synthetic_llm_batch10
Phishing Email,vendor_bec,Your Account Is Past Due - Immediate Payment Requested,"TrueCare Equipment Rentals records show an outstanding balance that is now overdue. To avoid suspension of your rental agreement, please process payment today. See the attached statement for the full amount owed. Attached: Overdue_Statement.xlsx",synthetic_llm_batch10
Phishing Email,vendor_bec,Final Reminder Before Collections Referral,"We have not received payment for the invoice sent last month regarding your recent order from Meridian Lab Supplies. If payment is not received within 3 business days, this account will be referred to our collections partner. Please remit at your earliest convenience.",synthetic_llm_batch10
Phishing Email,vendor_bec,Payment Overdue on Service Contract #7734,"Hey, just circling back on the maintenance contract invoice, it's now two weeks past due and I need to close this out on my end before month close. Can you get this processed today? Ironwood Biomedical, Billing",synthetic_llm_batch10
