email_type,subcategory,subject,body,source
Safe Email,lab_results_genuine,Your Bloodwork Results Are Ready,"Hi, your recent bloodwork has come back and everything is within normal range. No follow-up is needed unless your symptoms change. Feel free to reach out with any questions. Best, Northgate Family Medicine",synthetic_llm_batch5
Safe Email,lab_results_genuine,Imaging Results Reviewed,"This is a courtesy note that your chest X-ray from last week has been reviewed by Dr. Alvarez and shows no concerning findings. It's been added to your chart for your records. Radiology Department, Union Hospital System",synthetic_llm_batch5
Safe Email,lab_results_genuine,MRI Report Now Available in Your Portal,"Your MRI report from your recent visit is now available to view in your patient portal. Your provider has reviewed it and will discuss the findings at your next scheduled appointment. Imaging Services, Lakeview Regional Medical Center",synthetic_llm_batch5
Safe Email,lab_results_genuine,Biopsy Results - No Further Action Needed,"We wanted to let you know that the biopsy results from your recent procedure came back benign. Dr. Kim does not feel any further action is needed at this time, but please don't hesitate to schedule a visit if you have questions. Dermatology Associates",synthetic_llm_batch5
Safe Email,lab_results_genuine,Urinalysis Results Posted,"Your urinalysis results from this week's visit have been posted to your chart. Everything looks normal. No follow-up is required. Thank you, Community Health Lab Services",synthetic_llm_batch5
Safe Email,lab_results_genuine,Allergy Panel Results Available,"Your allergy panel results are ready for you to view in the patient portal whenever it's convenient. If you'd like to go over them with your provider, you're welcome to schedule a follow-up visit. Allergy & Asthma Clinic",synthetic_llm_batch5
Safe Email,lab_results_genuine,Your COVID Test Result,"Your COVID-19 test result came back negative. No action is needed on your end. Stay well, Eastside Urgent Care",synthetic_llm_batch5
Safe Email,lab_results_genuine,Cholesterol Panel Summary,"Hi, your cholesterol panel from last month has been reviewed. Your numbers are slightly improved from your last visit and remain within a healthy range. Keep up the good work with your diet changes. Dr. Whitfield's Office",synthetic_llm_batch5
Safe Email,lab_results_genuine,Genetic Test Results Have Been Reviewed,"Your genetic counselor has completed a review of your recent test results and has added notes to your chart. She'd be happy to walk through the results with you at your next appointment if you have questions in the meantime. Genetic Counseling Services, Riverbend Medical Center",synthetic_llm_batch5
Safe Email,lab_results_genuine,Prenatal Screening Results,"Hi, wanted to let you know your prenatal screening results are back and everything looks as expected. Dr. Osei will go over the details at your next prenatal visit. Take care, Maple Grove OB-GYN",synthetic_llm_batch5
Safe Email,lab_results_genuine,Pathology Report from Your Colonoscopy,The pathology report from your recent colonoscopy has been finalized and reviewed by Dr. Patel. The findings were unremarkable and your next screening is recommended in the usual interval. Gastroenterology Associates,synthetic_llm_batch5
Safe Email,lab_results_genuine,Echocardiogram Results,"Your echocardiogram from last week showed normal heart function. Dr. Nwosu has reviewed the results and no changes to your current treatment plan are needed. Cardiology Department, Cedarbrook Hospital",synthetic_llm_batch5
Safe Email,lab_results_genuine,Thyroid Panel Update,Your recent thyroid panel is back and your levels look stable compared to your last test. We'll continue monitoring at your regular follow-up interval. Endocrine Specialists of the Bay,synthetic_llm_batch5
Safe Email,lab_results_genuine,Glucose Tolerance Test Results,"Your glucose tolerance test results have come back within the normal range. No further testing is needed at this time. Thanks, Maternal Fetal Medicine Group",synthetic_llm_batch5
Safe Email,lab_results_genuine,Pap Smear Results - Normal,"Hi, just a quick note that your recent Pap smear results are normal. Your next screening will be due per the standard interval, which our office will remind you about closer to the date. Women's Health Partners",synthetic_llm_batch5
Safe Email,lab_results_genuine,Mammogram Results Available,Your recent mammogram has been reviewed by our radiologist and no abnormalities were found. Results have been added to your chart. Your next mammogram is recommended in one year unless your provider advises otherwise. Breast Imaging Center,synthetic_llm_batch5
Safe Email,lab_results_genuine,Bone Density Scan Summary,Your bone density scan results are in and show readings consistent with your age group. Dr. Farrow doesn't feel any changes to your current plan are necessary right now. Orthopedic & Bone Health Clinic,synthetic_llm_batch5
Safe Email,lab_results_genuine,Sleep Study Results Reviewed,Your recent sleep study has been reviewed by our sleep medicine team. We'll go over the full findings and any recommendations at your scheduled follow-up appointment next week. Sleep Disorders Center,synthetic_llm_batch5
Safe Email,lab_results_genuine,Your EKG Results,"Your EKG from today's visit looked normal. Dr. Bianchi didn't note any concerns. If you have any new symptoms before your next visit, please give us a call. Heartland Cardiology",synthetic_llm_batch5
Safe Email,lab_results_genuine,Stool Sample Results,"Your recent stool sample test came back negative for occult blood. No further action is needed at this time. Thank you, Digestive Health Associates",synthetic_llm_batch5
Safe Email,lab_results_genuine,Hearing Test Results,"Your hearing test results have been added to your chart. Overall your hearing is within the expected range for your age, with a slight change noted in one ear that we'll keep an eye on at your next visit. Audiology Services",synthetic_llm_batch5
Safe Email,lab_results_genuine,Vision Screening Results,Your recent vision screening results are in and your prescription remains largely unchanged from last year. Feel free to stop by if you'd like to update your glasses or contacts. Clearview Optometry,synthetic_llm_batch5
Safe Email,lab_results_genuine,Skin Biopsy Follow-Up,"Good news, the biopsy from the spot on your shoulder came back benign. No further treatment is needed, but let us know if you notice any new changes to your skin. Dermatology Clinic of Millbrook",synthetic_llm_batch5
Safe Email,lab_results_genuine,Vaccine Titer Results,Your recent titer results confirm you have adequate immunity and do not require a booster at this time. This has been noted in your employee health file. Employee Health Services,synthetic_llm_batch5
Safe Email,lab_results_genuine,STI Panel Results - All Clear,"Hi, your recent panel came back all clear. No treatment needed. Let us know if you have any other questions. Confidentially, Riverside Health Clinic",synthetic_llm_batch5
Safe Email,lab_results_genuine,Vitamin D Level Update,Your recent bloodwork shows your vitamin D level has improved since starting the supplement. We'll recheck again at your next annual visit. Internal Medicine Associates,synthetic_llm_batch5
Safe Email,lab_results_genuine,Iron Panel Results,Your iron panel results are back and show improvement compared to last quarter. Please continue your current supplement routine and we'll recheck in three months. Hematology Clinic,synthetic_llm_batch5
Safe Email,lab_results_genuine,Liver Function Panel - Normal,Your recent liver function panel came back normal. No changes needed to your current medications based on these results. Gastroenterology & Liver Center,synthetic_llm_batch5
Safe Email,lab_results_genuine,Kidney Function Results,"Hi, your kidney function panel from this week's visit looks stable and consistent with your last several results. We'll continue monitoring at your usual schedule. Nephrology Associates",synthetic_llm_batch5
Safe Email,lab_results_genuine,Your A1C Result,"Your recent A1C came back at 5.6%, which is within the normal range. Great work managing your diet and activity levels. Keep it up! Dr. Solano's Office",synthetic_llm_batch5
Safe Email,lab_results_genuine,Pre-Employment Drug Screen Cleared,This confirms your recent pre-employment drug screening has been reviewed and cleared. No further action is needed on your part. Occupational Health Services,synthetic_llm_batch5
Safe Email,lab_results_genuine,Sports Physical Clearance,Your recent sports physical has been reviewed and you're cleared to participate for the upcoming season. Good luck out there! School Health Clinic,synthetic_llm_batch5
Safe Email,lab_results_genuine,Pre-Op Labs Reviewed and Cleared,"Your pre-operative labs have been reviewed by the surgical team and everything looks good to proceed with your scheduled procedure. See you at your pre-op appointment. Surgical Services, Fairhaven Medical Group",synthetic_llm_batch5
Safe Email,lab_results_genuine,Allergy Skin Test Results,"Your skin test results are ready to review. A couple of mild sensitivities were noted, nothing that requires immediate treatment. We can talk through management options at your next visit if you'd like. Allergy Center of the Valley",synthetic_llm_batch5
Safe Email,lab_results_genuine,Spirometry Results,Your recent breathing test results are stable compared to your last visit. Dr. Ihejirika doesn't recommend any changes to your inhaler regimen right now. Pulmonology Clinic,synthetic_llm_batch5
